datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,outlier_column
5/30/2015,14.0,2.68,6.0,24.5,4.0,0.0,4.0,8.0,2015,5,276,Saturday,M01AB
7/28/2015,14.18,6.02,1.0,15.2,14.0,0.0,1.0,3.0,2015,7,276,Tuesday,M01AB
8/11/2015,12.33,6.66,7.4,18.1,10.0,0.0,0.0,4.0,2015,8,276,Tuesday,M01AB
9/26/2015,12.42,3.33,2.5,33.0,6.0,1.0,7.0,2.0,2015,9,276,Saturday,M01AB
2/2/2016,14.33,4.878,1.3,39.0,6.0,0.0,0.0,1.0,2016,2,276,Tuesday,M01AB
4/23/2016,13.66,3.69,8.0,33.2,8.0,0.0,0.0,4.5,2016,4,276,Saturday,M01AB
5/28/2016,12.33,0.363,3.0,43.0,4.0,0.0,4.0,9.0,2016,5,276,Saturday,M01AB
7/25/2016,13.0,3.33,7.0,22.0,9.0,0.0,4.0,4.0,2016,7,276,Monday,M01AB
9/28/2016,13.68,1.802,5.45,64.5,3.0,0.0,0.0,4.0,2016,9,276,Wednesday,M01AB
10/2/2016,17.0,4.056,9.7,80.5,6.0,0.0,18.0,3.0,2016,10,276,Sunday,M01AB
10/23/2016,12.33,5.78,3.8,51.21666667,10.0,0.0,11.0,2.0,2016,10,276,Sunday,M01AB
10/29/2016,15.33,4.54,6.1,78.5,23.0,0.0,9.0,5.0,2016,10,276,Saturday,M01AB
3/5/2017,12.33,4.33,5.0,33.9,3.0,0.0,6.0,5.0,2017,3,276,Sunday,M01AB
8/31/2017,16.68,3.033,3.05,17.0,4.0,0.0,0.0,1.0,2017,8,276,Thursday,M01AB
11/21/2017,13.33,0.68,1.0,22.4,5.0,0.0,2.0,1.0,2017,11,276,Tuesday,M01AB
12/31/2017,13.83,10.043,5.3,70.2,9.0,0.0,0.0,1.0,2017,12,276,Sunday,M01AB
4/7/2018,16.18,4.506,2.0,40.0,4.0,0.0,5.0,7.0,2018,4,276,Saturday,M01AB
6/1/2018,12.33,2.18,4.0,29.0,9.0,0.0,5.0,3.0,2018,6,276,Friday,M01AB
11/4/2018,13.99,4.896,0.0,52.0,7.0,0.0,13.0,1.0,2018,11,276,Sunday,M01AB
12/23/2018,12.33,6.406,2.3,47.7,8.0,0.0,13.0,4.0,2018,12,276,Sunday,M01AB
2/2/2019,13.34,12.706,6.2,64.262,8.0,1.0,45.0,0.0,2019,2,276,Saturday,M01AB
3/11/2019,14.66,3.67,2.5,26.4,10.0,3.0,11.0,3.0,2019,3,276,Monday,M01AB
4/25/2019,14.01,3.59,2.0,15.0,17.0,1.0,7.0,5.4,2019,4,276,Thursday,M01AB
4/27/2019,17.34,2.497,3.1,25.2,13.0,1.0,7.0,7.0,2019,4,276,Saturday,M01AB
7/26/2019,12.5,4.0,0.1,17.0,12.0,0.0,8.0,3.0,2019,7,276,Friday,M01AB
8/24/2019,13.84,6.02,3.0,24.6,9.0,0.0,0.0,5.5,2019,8,276,Saturday,M01AB
2/10/2014,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,276,Monday,M01AE
11/7/2014,6.0,10.34,5.5,15.8,32.0,1.0,0.0,1.0,2014,11,276,Friday,M01AE
12/28/2014,2.34,10.76,3.0,80.4,15.0,0.0,13.0,1.0,2014,12,276,Sunday,M01AE
1/6/2015,3.0,9.37,7.3,42.0,13.0,0.0,3.0,0.0,2015,1,276,Tuesday,M01AE
